Title,Description
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Ed Kemper,
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
Annihilation,"A biologist signs up for a dangerous, secret expedition in which the laws of nature don't apply."
Deep Impact,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst."
Saturday Night,
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Sin City,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Bring Her Back,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
"The Good, the Bad and the Ugly",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Thor: Love and Thunder,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
Mad Max: Fury Road,
Queer,
Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
Hit Man,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Don't Worry Darling,
Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
Irreversible,Events over the course of one traumatic night in Paris unfold in reverse-chronological order.
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
Scorned,A vengeful widow is out to seduce the relatives of the man she blames for her husband's death.
Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
Fast Times at Ridgemont High,A group of SoCal high school students would rather ignore their studies and instead indulge in their teenage distractions.
Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
Past Lives,
The Iron Claw,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Clueless,
The Outsiders,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other."
The Man from Earth,
It Feeds,
Jaws,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
Day of Reckoning,
Watchmen,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history."
Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Spider-Man,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
Better Man,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams."
Teenage Mutant Ninja Turtles: The Rise of Leo,"Leonardo must unite his brothers to stop a tech-fueled crime wave rising from the sewers - and prove he's ready to lead before their family, and the city, are lost."
The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Terminator,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.
Subservience,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly."
Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Shadow Force,"An estranged couple with a bounty on their heads must go on the run with their son to avoid their former employer, a unit of shadow ops that has been sent to kill them."
The Help,
Mission: Impossible - Fallout,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage."
Her,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Memento,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.
Ford v Ferrari,
One Battle After Another,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue one of their own's daughter."
Marching Powder,"Middle-aged Jack, arrested for drugs, strives in 6 weeks to repair marriage, curb bullying in-law, and guide stepbrother Kenny Boy, but his efforts fail as life spirals out of control."
Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Back in Action,Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.
The Hunger Games: Catching Fire,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
Star Wars: Episode IX - The Rise of Skywalker,The surviving Resistance faces the First Order once again.
Aliens,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
Havoc,Two affluent suburban girls clash with the Latino gang culture of East Los Angeles.
One of Them Days,
Y2K,Two high-school nobodies make the decision to crash a Y2K party. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.
Hell or High Water,
The Northman,A young Viking prince is on a quest to avenge his father's murder.
One Flew Over the Cuckoo's Nest,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.
Legend,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
Just Go with It,
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
The Menu,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
The Shining,
Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
The Super Mario Bros. Movie,"Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser."
Arrival,
I Know What You Did Last Summer,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.
Final Destination 2,Death is stalking Kimberly Corman and multiple survivors of a deadly highway accident.
Borderlands,
Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.
Wolfs,
There's Something About Mary,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
The Beach,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
The Equalizer,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Mission: Impossible - Ghost Protocol,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
Mob Land,"A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia."
Eddington,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico."
American History X,
Bonjour Tristesse,Cécile's (Lily McInerny) relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne (Chloë Sevigny).
Beetlejuice Beetlejuice,
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
The Big Short,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
Cars,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
The Bikeriders,
Blue Is the Warmest Colour,
Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations."
Nymphomaniac: Vol. I,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
Baby Driver,"Coerced into working for a crime boss, a young getaway driver must face the music when a doomed heist threatens his life, love, and freedom."
The Sixth Sense,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret."
Atonement,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Asteroid City,World-changing events spectacularly disrupt the annual Asteroid Day celebration in an American desert town.
Ocean's Eleven,
Mulholland Drive,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
Troy,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces."
American Sniper,
Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Vanilla Sky,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Captain America: The First Avenger,
Challengers,
Mission: Impossible II,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Crimes of the Future,
The Suicide Squad,
Babylon,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Paprika,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam."
Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
The Hangover,
La La Land,
Kindergarten Cop,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
28 Weeks Later,
Operation Fortune: Ruse de Guerre,Elite spy Orson Fortune recruits a movie star to help him stop the sale of a new weapons technology.
Dead Poets Society,
Napoleon Dynamite,"A listless and alienated teenager helps his new friend win the class presidency in their small western high school, while dealing with his bizarre family life back home."
The Devil's Advocate,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.
Happy Gilmore,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
Lee,
Pearl,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm."
Airplane!,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers."
Homestead,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
Ready Player One,
Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
Malena,"As Italy enters WWII, a teenage boy in a small, narrow-minded Sicilian town becomes obsessed with a young woman."
The Heartbreak Kid,A newly wed man who believes he's just gotten hitched to the perfect woman encounters another lady on his honeymoon.
Stand by Me,A writer recounts a childhood journey with his friends to find the body of a missing boy.
Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Star Trek: Section 31,"In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past."
Jumanji,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
Saltburn,
Mission: Impossible III,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.
Alita: Battle Angel,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is."
Culpa Mía,
The Room Next Door,
Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Court - State Vs. A Nobody,A passionate defense attorney fights against prejudice and corruption in the justice system while representing a teenage client wrongly presumed guilty of a serious crime.
The Equalizer 3,
War of the Worlds,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
Almost Famous,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Transformers,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
Black Panther: Wakanda Forever,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
Woman of the Hour,"Sheryl Bradshaw, a single woman looking for a suitor on a hit 1970s TV show, chooses charming bachelor Rodney Alcala, unaware that, behind the man's gentle facade, he hides a deadly secret."
Tron: Legacy,
Madame Web,
Totally Killer,
Smile,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity."
Harry Potter and the Deathly Hallows: Part 2,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort."
Interview with the Vampire,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
Final Destination 3,Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.
Black Swan,
Constantine,
Little Women,
Idiocracy,
Red Eye,
Megan Is Missing,Two teenage girls encounter an Internet child predator.
Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
Joker,
The Karate Kid,
Indiana Jones and the Temple of Doom,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
The Girl Next Door,A teenager's dreams come true when a former porn star moves in next door and they fall in love.
1917,
Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
The Voyeurs,
Death Becomes Her,"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Legally Blonde,"Fashionable sorority queen Elle Woods follows her ex-boyfriend to law school, where she discovers that there is more to her than just looks."
EuroTrip,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends."
Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
The Mummy,
Dora and the Lost City of Gold,Teenage explorer Dora leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.
Clue,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
The Gift,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts."
Rush,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
Avatar: The Way of Water,
The Final Destination,A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
Bridget Jones: Mad About the Boy,"After jumping back into the dating pool, single mother Bridget Jones finds herself caught between a younger man and her son's science teacher."
The Comeback Trail,
The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
2001: A Space Odyssey,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
The Covenant,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Tenet,
Indiana Jones and the Dial of Destiny,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
Divergent,
Hallow Road,Two parents enter a race against time when they receive a distressing late-night phone call from their daughter after she caused a tragic car accident.
The Smashing Machine,"This is a documentary that follows M.M.A. great Mark Kerr, and his string of amazing victories in the ring."
Fruitvale Station,"The story of Oscar Grant III, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008."
A Time to Kill,A young Mississippi lawyer defends a black man who killed the two white men that raped his preteen daughter.
Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite."
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
Uncle Buck,Laid back commitment-phobe Buck babysits his brother's rebellious teenage daughter and her cute younger brother and sister.
Unforgiven,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.
Willow,
Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
500 Days of Summer,
Scream,A masked killer targets a past victim's daughter.
Us,
The Secret Life of Walter Mitty,"When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined."
Mr. Nobody,
Lilo & Stitch,
Fast X,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
Frewaka,"Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function."
Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
Good Bad Ugly,"A fearless don tries to change his ruthless ways and violent past to live peacefully with his family. However, his dark past continues to haunt him. He faces it head-on and overcomes it."
Knock Knock,"A devoted husband and father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
Warrior,
Final Destination 5,Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.
Promising Young Woman,
Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Kingsman: The Golden Circle,
Angels & Demons,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
Train to Busan,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
Brokeback Mountain,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends."
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
Basic Instinct,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
The Great Gatsby,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age."
Zodiac,
RoboCop,
Kinds of Kindness,
The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
Grown Ups 2,
Pan's Labyrinth,
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Blue Lagoon,"During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters."
Minority Report,
Apocalypto,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
Mamma Mia!,
Glass Onion,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
Wind River,
Costao,The story of the civil servant who worked unafraid to fix the system's failures
Black Hawk Down,
Love & Other Drugs,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease."
Homefront,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
About Time,
Sisters,Two sisters decide to throw one last house party before their parents sell their family home.
300,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
Starship Troopers,"Humans, in a fascist militaristic future, wage war with giant alien bugs."
The Equalizer 2,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?"
Sneaks,"When a designer sneaker unwittingly finds himself lost in New York City, he must dig deep into his sole in order to rescue his sister and return to his rightful owner."
The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Captain America: The Winter Soldier,
Love Hurts,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",
Home Alone,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
A Clockwork Orange,Alex DeLarge and his droogs barbarize a decaying near-future.
Dunkirk,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Alarum,"Two rogue spies go off-grid, marry, and come under attack at their remote cabin hideaway by various intel agencies seeking a stolen hard drive."
We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
Drive,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
The Unholy Trinity,
Love Lies Bleeding,
The Witch,An isolated Puritan family in 1630s New England comes unraveled by the forces of witchcraft and possession.
A Knight's Tale,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
The Place Beyond the Pines,
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Sixteen Candles,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
Platoon,
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Amadeus,
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Mob Cops,
The Hobbit: An Unexpected Journey,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug."
Point Break,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
Five Nights at Freddy's,
Hacksaw Ridge,
The Rose of Versailles,"The story of Lady Oscar, a female military commander who served during the time of the French Revolution."
Inside Out 2,
The Age of Adaline,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Shallow Hal,A shallow man falls in love with a 300-pound woman because of her inner beauty.
Star Wars: Episode VIII - The Last Jedi,Rey develops her abilities with the help of Luke Skywalker as the Resistance prepares for battle against the First Order.
Landmine Goes Click,"Trapped standing on an armed landmine, an American tourist is forced to watch helplessly while his girlfriend is terrorized and brutally assaulted."
Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
Harry Potter and the Prisoner of Azkaban,
Call Me by Your Name,
The Game,
Hidden Figures,Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.
Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Y tu mamá también,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other."
Martyrs,
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
If Only,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
Popeye: The Slayer Man,"A curious group of friends sneak into an abandoned spinach canning factory to investigate the legend of the ""Sailor Man,"" who is said to haunt the factory and local docks."
Gunslingers,
Unfaithful,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
Secretary,A timid young woman starts working for a demanding lawyer and finds a new way to deal with her self-harming urges.
True Romance,"In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
